order_id,customer_id,order_date,country,order_total
O300154,C100254,2024-02-09,India,316.32
O300155,C100722,2024-03-31,United States,500.15
O300156,C100689,2024-08-02,Germany,29.73
O300157,C100160,2025-06-09,Australia,371.19
O300158,C100542,2024-12-29,Mexico,875.27
O300159,C100832,2025-02-16,United States,87.27
O300160,C101160,2024-11-27,India,784.38
O300161,C101017,2024-08-22,Germany,433.08
O300162,C100117,2024-09-30,United States,2156.03
O300163,C100285,2025-08-01,India,300.51
O300164,C100524,2024-12-15,United Kingdom,115.53
O300165,C100180,2024-10-25,India,261.86
O300166,C100684,2024-06-21,South Korea,182.04
O300167,C100010,2024-12-22,Germany,336.96
O300168,C100136,2025-02-16,India,980.51
O300169,C100056,2025-07-11,Japan,123.14
O300170,C100354,2025-08-22,Netherlands,837.97
O300171,C100914,2024-11-19,Japan,210.22
O300172,C100212,2024-11-22,Sweden,355.55000000000007
O300173,C101184,2024-11-29,India,286.39
O300174,C100323,2024-06-28,Canada,194.02
O300175,C100053,2025-03-07,India,952.74
O300176,C100402,2025-04-22,United States,384.46
O300177,C100897,2024-06-23,France,560.02
O300178,C100127,2025-06-14,United States,1321.68
O300179,C100086,2024-05-18,India,371.63
O300180,C101019,2025-08-15,United States,803.4000000000001
O300181,C100710,2025-01-03,India,329.82
O300182,C100411,2024-06-17,Germany,255.59
O300183,C100907,2024-07-12,United Kingdom,422.44
O300184,C101013,2025-06-18,India,219.07999999999998
O300185,C100431,2025-01-05,Australia,605.6700000000001
O300186,C100673,2024-02-19,Germany,259.08000000000004
O300187,C100013,2024-02-05,Sweden,216.45
O300188,C100367,2025-03-17,United States,1317.4900000000002
O300189,C100714,2024-04-19,United States,584.27
O300190,C100236,2025-06-06,Brazil,257.95
O300191,C101189,2024-03-09,United States,681.6400000000001
O300192,C101165,2024-03-08,United States,192.79000000000002
O300193,C100309,2025-03-09,India,652.19
O300194,C100475,2024-04-12,India,116.85
O300195,C100227,2024-08-26,India,521.6899999999999
O300196,C100604,2024-02-01,United States,226.95
O300197,C100148,2024-08-16,Brazil,578.96
O300198,C100469,2025-04-18,India,23.16
O300199,C100666,2024-12-19,United States,362.43
O300200,C100734,2025-08-22,Netherlands,790.91
O300201,C100715,2025-06-21,Spain,800.46
O300202,C100265,2024-04-25,Japan,645.0600000000001
O300203,C100950,2024-08-07,United States,1289.04
O300204,C100830,2025-03-06,South Korea,925.25
O300205,C100903,2025-07-10,United Kingdom,171.85
O300206,C100561,2025-04-04,Italy,1406.79
O300207,C101071,2024-06-28,France,470.99
O300208,C100467,2024-11-20,Spain,62.57
O300209,C100966,2025-02-27,United States,596.65
O300210,C100244,2024-08-02,United States,229.57
O300211,C100296,2025-02-04,India,440.52
O300212,C100632,2024-12-20,India,86.1
O300213,C100667,2025-06-13,Sweden,755.38
O300214,C100895,2025-01-14,France,1845.13
O300215,C100356,2025-07-04,Brazil,436.7
O300216,C101047,2024-08-22,Brazil,695.66
O300217,C100395,2024-08-13,United Kingdom,82.64
O300218,C100641,2025-06-09,India,230.24
O300219,C101118,2024-04-15,Italy,204.73000000000002
O300220,C100647,2025-05-23,India,1193.6399999999999
O300221,C100818,2024-01-10,Japan,157.8
O300222,C101090,2025-08-09,Brazil,738.85
O300223,C101169,2025-04-13,Mexico,480.99
O300224,C100599,2024-02-21,Australia,77.0
O300225,C100500,2024-03-05,United States,491.52
O300226,C100236,2024-04-10,Brazil,131.01
O300227,C100644,2025-04-04,India,829.41
O300228,C101102,2024-12-27,India,469.47
O300229,C100584,2025-07-04,United States,67.57
O300230,C100418,2025-05-22,United States,206.79
O300231,C100128,2024-02-08,United Kingdom,1099.8899999999999
O300232,C100467,2024-02-24,Spain,246.89000000000001
O300233,C100284,2024-09-09,India,38.41
O300234,C101172,2025-04-17,France,1623.61
O300235,C100633,2024-02-05,Spain,567.8199999999999
O300236,C100164,2025-06-25,South Korea,142.78
O300237,C100080,2024-12-06,United States,583.89
O300238,C101020,2024-09-01,India,379.08000000000004
O300239,C101117,2024-04-30,France,579.1
O300240,C100915,2024-03-22,India,545.25
O300241,C100148,2024-02-29,Brazil,401.40999999999997
O300242,C100117,2024-07-18,United States,150.07999999999998
O300243,C100237,2025-08-30,Sweden,51.94
O300244,C100901,2025-05-02,Netherlands,1055.42
O300245,C100918,2025-08-29,United States,451.83000000000004
O300246,C101005,2024-07-15,India,362.52
O300247,C100116,2024-12-27,Germany,339.51
O300248,C100183,2025-06-23,France,570.38
O300249,C101080,2024-10-24,Australia,928.89
O300250,C101114,2025-08-02,India,828.65
O300251,C100870,2024-02-09,South Korea,94.8
O300252,C100127,2025-07-10,United States,114.0
O300253,C100082,2025-06-10,United States,1151.8400000000001
O300254,C100066,2025-04-24,Brazil,597.97
O300255,C100830,2024-11-01,South Korea,692.41
O300256,C101015,2024-09-06,India,709.88
O300257,C100757,2025-08-15,United Kingdom,423.71
O300258,C100314,2025-04-06,Sweden,131.87
O300259,C100908,2024-08-20,India,1323.51
O300260,C100070,2024-04-28,United States,1470.0800000000002
O300261,C100993,2024-02-23,India,298.40999999999997
O300262,C101070,2025-04-01,India,63.52
O300263,C100862,2024-11-01,United States,489.28999999999996
O300264,C101055,2025-02-19,India,1243.17
O300265,C100703,2024-02-18,India,513.87
O300266,C100562,2024-07-28,Mexico,585.6800000000001
O300267,C100386,2025-07-21,India,305.85
O300268,C101106,2025-01-27,United States,227.92999999999998
O300269,C100836,2024-08-02,India,248.22
O300270,C100228,2024-04-05,Japan,651.1400000000001
O300271,C101148,2025-06-17,United Kingdom,307.55999999999995
O300272,C100071,2024-07-14,Germany,1126.6499999999999
O300273,C100705,2025-02-10,South Korea,779.83
O300274,C100228,2024-11-29,Japan,312.77
O300275,C100797,2025-08-29,South Korea,1061.33
O300276,C100495,2024-03-20,India,370.8
O300277,C100524,2025-06-11,United Kingdom,298.73
O300278,C100805,2025-05-09,India,1840.0
O300279,C100907,2025-06-19,United Kingdom,137.71
O300280,C100456,2025-08-31,South Korea,14.47
O300281,C101197,2024-10-08,India,1843.2900000000002
O300282,C100598,2024-07-23,India,1302.27
O300283,C100192,2024-03-03,India,480.64
O300284,C100007,2025-01-15,United States,49.739999999999995
O300285,C100242,2024-11-11,Canada,652.27
O300286,C100829,2025-02-05,United Kingdom,784.54
O300287,C100647,2025-02-21,India,322.20000000000005
O300288,C100405,2025-04-08,India,1369.24
O300289,C100577,2024-07-25,India,963.41
O300290,C101005,2025-03-21,India,392.93
O300291,C100685,2024-07-26,South Korea,836.94
O300292,C100069,2025-04-04,India,883.61
O300293,C100058,2024-11-05,Germany,759.48
O300294,C100578,2025-03-12,India,103.35000000000001
O300295,C100485,2024-09-12,Australia,686.34
O300296,C101020,2024-05-02,India,639.74
O300297,C100699,2024-11-03,India,470.71000000000004
O300298,C100908,2025-02-27,India,167.54
O300299,C100702,2024-10-03,Australia,296.15
O300300,C100414,2024-08-11,India,129.55
O300301,C100788,2025-03-19,Japan,313.95
O300302,C100745,2024-05-31,France,279.1
O300303,C100864,2024-08-25,Italy,1402.96
O300304,C100227,2025-02-12,India,904.48
O300305,C100769,2024-07-26,India,113.2
O300306,C100342,2025-02-01,United States,985.04
O300307,C100948,2025-06-23,India,489.26
O300308,C100958,2024-11-06,Italy,654.59
O300309,C100749,2024-08-17,United States,901.78
O300310,C101136,2025-01-26,Japan,497.07
O300311,C100645,2024-12-11,India,44.14
O300312,C100030,2025-06-20,South Korea,1214.57
O300313,C100727,2024-05-13,Germany,1033.75
O300314,C100933,2025-02-18,Spain,364.18
O300315,C100121,2025-08-29,United Kingdom,339.64
O300316,C100125,2025-08-08,United States,436.85
O300317,C100327,2024-06-02,Mexico,566.6600000000001
O300318,C101013,2025-05-27,India,816.92
O300319,C100632,2024-12-20,India,544.85
O300320,C101171,2024-10-18,Brazil,1284.74
O300321,C101047,2025-01-01,Brazil,648.93
O300322,C100665,2025-02-26,Brazil,200.14
O300323,C100814,2025-03-23,United States,986.3299999999999
O300324,C100397,2024-08-13,United States,101.24
O300325,C100108,2025-05-23,United Kingdom,642.38
O300326,C100478,2024-05-11,France,1285.94
O300327,C100710,2024-04-28,India,57.6
O300328,C100218,2024-12-14,France,190.41
O300329,C100266,2024-03-08,Japan,239.29999999999998
O300330,C100017,2024-10-17,India,1090.52
O300331,C100880,2024-01-13,United Kingdom,1132.2400000000002
O300332,C101079,2025-03-09,Canada,993.72
O300333,C100992,2024-05-10,Netherlands,56.62
O300334,C100455,2024-05-16,Spain,111.74
O300335,C100712,2024-08-09,Germany,825.8899999999999
O300336,C101152,2024-10-26,Japan,1783.08
O300337,C100709,2024-10-18,Netherlands,97.9
O300338,C100355,2024-04-12,Japan,352.02
O300339,C100406,2024-03-12,South Korea,60.03
O300340,C100872,2025-08-11,United States,615.48
O300341,C100535,2024-11-24,India,706.8100000000001
O300342,C101004,2024-06-30,India,707.2099999999999
O300343,C101036,2024-03-12,India,151.13
O300344,C100043,2025-08-08,India,1977.06
O300345,C100867,2024-02-09,India,1120.66
O300346,C100443,2025-03-04,Italy,719.99
O300347,C100623,2024-03-25,Italy,848.55
O300348,C100317,2024-06-12,United States,432.87000000000006
O300349,C100441,2025-06-20,Italy,65.97
O300350,C100396,2024-12-18,France,783.55
O300351,C100060,2024-12-11,India,151.03
O300352,C100939,2024-03-04,United Kingdom,199.53000000000003
O300353,C100171,2024-12-05,Germany,340.34000000000003
O300354,C100450,2024-12-28,Italy,575.38
O300355,C100231,2024-11-20,Germany,19.23
O300356,C100192,2025-05-15,India,359.47
O300357,C100448,2024-07-03,Japan,459.0
O300358,C101102,2025-05-14,India,237.70999999999998
O300359,C101132,2024-06-01,Australia,110.06
O300360,C100458,2024-01-28,Canada,772.86
O300361,C100606,2025-06-04,France,454.4
O300362,C101182,2024-07-07,India,714.41
O300363,C100281,2024-01-13,France,997.77
O300364,C101133,2024-05-26,India,1683.1399999999999
O300365,C100126,2025-08-10,India,603.01
O300366,C100271,2025-05-24,United States,496.84
O300367,C100405,2025-05-01,India,294.99
O300368,C100044,2024-04-05,France,88.56
O300369,C100978,2024-10-18,Sweden,218.56
O300370,C101026,2024-06-09,India,1372.76
O300371,C100460,2024-11-19,Netherlands,327.03999999999996
O300372,C101003,2024-08-12,Mexico,667.56
O300373,C100927,2024-11-04,United Kingdom,723.3499999999999
O300374,C100961,2024-05-08,France,615.62
O300375,C100963,2025-01-31,South Korea,713.02
O300376,C100688,2024-09-13,United Kingdom,1194.3700000000001
O300377,C100132,2025-02-14,United States,2910.51
O300378,C101108,2024-02-18,Japan,343.37
O300379,C100730,2024-04-04,Brazil,209.3
O300380,C101081,2025-08-13,Mexico,365.79
O300381,C101150,2025-02-26,France,431.66999999999996
O300382,C100224,2024-03-24,Mexico,1711.6299999999999
O300383,C100482,2024-06-23,South Korea,495.33
O300384,C100230,2024-07-05,France,482.59000000000003
O300385,C100061,2024-08-22,Japan,55.68
O300386,C101159,2024-10-16,South Korea,909.4300000000001
O300387,C101107,2025-08-29,India,650.8
O300388,C101118,2025-02-17,Italy,1405.34
O300389,C101060,2025-04-05,United States,429.2
O300390,C100778,2024-01-09,France,557.22
O300391,C100626,2025-02-09,United Kingdom,641.8
O300392,C101189,2024-06-02,United States,632.11
O300393,C100662,2025-05-18,India,914.01
O300394,C100770,2025-02-21,United States,1073.41
O300395,C100254,2024-08-11,India,177.74
O300396,C100896,2024-11-22,Japan,145.61
O300397,C100983,2025-08-01,India,739.3100000000001
O300398,C100814,2025-02-19,United States,235.44
O300399,C100598,2025-08-09,India,720.12
O300400,C100237,2024-02-25,Sweden,278.08
O300401,C100040,2024-08-17,Australia,1410.4
O300402,C100752,2024-02-08,India,202.14
O300403,C100819,2025-06-08,Sweden,273.54
O300404,C100927,2024-02-14,United Kingdom,847.61
O300405,C101140,2024-03-13,India,362.53999999999996
O300406,C100596,2024-11-06,India,260.88
O300407,C100994,2024-02-07,Mexico,119.28999999999999
O300408,C100859,2024-08-19,India,1601.1000000000001
O300409,C100332,2025-04-21,India,1254.8200000000002
O300410,C101014,2025-08-15,Mexico,132.03
O300411,C100063,2025-03-04,United States,281.45
O300412,C100718,2024-11-22,Australia,396.44
O300413,C101128,2024-09-28,United States,1163.08
O300414,C100790,2025-05-16,South Korea,828.1
O300415,C101124,2024-10-09,Canada,567.75
O300416,C100067,2025-08-22,Sweden,719.12
O300417,C100638,2025-01-26,United States,466.17999999999995
O300418,C100936,2025-06-18,Brazil,1439.37
O300419,C100770,2025-04-25,United States,890.3
O300420,C101056,2024-04-02,India,611.66
O300421,C100555,2024-05-05,United States,865.57
O300422,C100819,2024-04-15,Sweden,1108.17
O300423,C100503,2024-06-07,Mexico,1038.58
O300424,C101046,2024-03-16,India,649.6
O300425,C100143,2024-08-11,United States,251.57
O300426,C100304,2025-06-17,Netherlands,100.19999999999999
O300427,C100116,2025-03-26,Germany,1697.98
O300428,C100842,2024-05-14,United States,693.96
O300429,C100279,2025-04-30,Germany,761.24
O300430,C100380,2024-01-04,Sweden,156.55
O300431,C101003,2025-04-21,Mexico,408.94
O300432,C100432,2024-11-22,Canada,817.27
O300433,C100174,2024-07-12,United States,280.46000000000004
O300434,C100025,2024-06-11,India,844.08
O300435,C100272,2024-02-03,Sweden,227.01
O300436,C101097,2025-06-06,Brazil,750.55
O300437,C100658,2024-08-09,Canada,475.99
O300438,C101193,2024-01-24,Spain,1798.25
O300439,C100258,2024-05-24,India,336.44
O300440,C100421,2025-05-07,Australia,101.99
O300441,C100195,2025-06-19,India,560.97
O300442,C100478,2024-09-02,France,772.15
O300443,C100675,2025-05-20,India,201.18
O300444,C100969,2024-07-21,Canada,90.1
O300445,C100441,2024-01-19,Italy,1161.64
O300446,C100925,2024-06-24,United States,323.07
O300447,C100751,2024-02-16,Mexico,654.89
O300448,C100350,2024-01-31,Canada,585.81
O300449,C101094,2024-03-03,Spain,744.6700000000001
O300450,C100521,2025-05-08,United States,320.90000000000003
O300451,C100181,2025-02-07,South Korea,320.42
O300452,C101155,2024-08-05,Germany,965.81
O300453,C101096,2024-02-16,United States,61.28
O300454,C100059,2024-04-26,India,347.55
O300455,C101082,2025-02-07,Australia,22.2
O300456,C101136,2024-02-20,Japan,604.1800000000001
O300457,C100994,2024-11-13,Mexico,217.86
O300458,C100305,2024-01-26,Italy,69.89
O300459,C100757,2025-03-21,United Kingdom,601.1400000000001
O300460,C100645,2024-02-01,India,338.1
O300461,C100744,2025-01-10,Sweden,69.36
O300462,C100739,2025-03-21,India,10.03
O300463,C100767,2024-08-16,United States,490.53
O300464,C100616,2024-01-19,India,281.95
O300465,C100828,2025-01-23,Brazil,37.71
O300466,C100631,2025-03-30,Germany,17.86
O300467,C100019,2024-04-30,United States,330.96999999999997
O300468,C100042,2025-03-16,United States,173.72
O300469,C101149,2024-09-18,United Kingdom,757.03
O300470,C101091,2024-01-02,South Korea,1575.1200000000001
O300471,C100702,2024-03-19,Australia,119.11
O300472,C100209,2025-01-10,Sweden,1281.3100000000002
O300473,C100937,2024-02-21,Australia,1459.31
O300474,C100171,2024-05-02,Germany,724.86
O300475,C100452,2025-08-02,India,247.44
O300476,C100395,2024-10-18,United Kingdom,112.35
O300477,C100014,2024-08-23,India,1337.29
O300478,C100968,2024-10-11,United Kingdom,297.25
O300479,C100611,2024-01-01,Mexico,41.75
O300480,C100379,2024-03-21,United States,299.48
O300481,C100608,2025-02-28,India,329.47
O300482,C100000,2024-05-30,United Kingdom,282.99
O300483,C100524,2024-07-19,United Kingdom,576.7099999999999
O300484,C100623,2024-11-20,Italy,412.48
O300485,C100407,2025-01-25,India,470.5
O300486,C100996,2024-06-16,India,556.68
O300487,C100299,2024-07-19,Canada,437.96
O300488,C100165,2025-06-12,United States,648.16
O300489,C100633,2024-04-21,Spain,571.51
O300490,C101064,2025-04-04,South Korea,483.73
O300491,C100450,2024-04-05,Italy,463.74
O300492,C100055,2024-06-10,India,328.46
O300493,C101163,2025-01-07,United States,163.41000000000003
O300494,C100533,2025-03-21,Australia,1010.95
O300495,C100207,2024-07-17,United States,84.00999999999999
O300496,C100738,2024-06-25,Japan,98.32
O300497,C100383,2025-03-15,United Kingdom,122.96
O300498,C101125,2025-05-30,United States,1571.7099999999998
O300499,C100352,2024-09-14,India,586.0999999999999
O300500,C100660,2024-11-04,United States,530.34
O300501,C100651,2024-04-02,United States,918.02
O300502,C100290,2025-02-23,India,265.38
O300503,C100599,2024-04-30,Australia,82.26
O300504,C100130,2024-12-13,India,457.97
O300505,C100772,2025-03-23,India,1335.3799999999999
O300506,C100909,2024-10-07,Australia,96.69
O300507,C101140,2025-02-07,India,485.73
O300508,C100390,2025-08-20,France,347.22
O300509,C100342,2025-04-22,United States,507.8
O300510,C100658,2024-09-17,Canada,417.84000000000003
O300511,C100831,2024-11-16,France,270.87
O300512,C101190,2025-03-06,Brazil,877.02
O300513,C100030,2024-01-14,South Korea,463.35999999999996
O300514,C100285,2024-01-23,India,519.29
O300515,C100314,2025-01-10,Sweden,311.4
O300516,C100306,2025-02-06,Canada,564.8
O300517,C100556,2024-01-14,United States,116.13
O300518,C101047,2025-03-14,Brazil,527.11
O300519,C100037,2025-04-20,Australia,1103.69
O300520,C100979,2025-01-10,Japan,704.77
O300521,C100741,2025-06-19,Mexico,659.14
O300522,C100738,2024-05-03,Japan,542.26
O300523,C100813,2024-03-05,Netherlands,284.06
O300524,C100138,2024-09-13,India,48.0
O300525,C100896,2025-08-19,Japan,172.67
O300526,C100297,2024-10-07,India,565.48
O300527,C100619,2024-09-14,United States,223.14
O300528,C100812,2024-10-30,Mexico,179.23000000000002
O300529,C100724,2024-06-24,India,932.77
O300530,C100387,2024-03-30,United States,104.19
O300531,C100475,2024-02-23,India,667.4399999999999
O300532,C100571,2024-06-25,Australia,366.6
O300533,C100049,2024-11-12,United States,134.98
O300534,C100871,2024-01-20,United States,165.56
O300535,C100119,2025-07-02,Netherlands,1282.56
O300536,C100550,2024-07-31,United States,27.56
O300537,C100785,2024-09-03,United States,261.64
O300538,C100096,2024-09-27,Australia,1072.58
O300539,C101194,2024-01-29,South Korea,160.7
O300540,C100452,2024-03-29,India,1139.71
O300541,C100018,2025-06-04,United States,819.8399999999999
O300542,C100790,2024-10-22,South Korea,725.83
O300543,C100669,2024-10-12,Canada,1401.8
O300544,C100768,2024-09-21,United States,276.84000000000003
O300545,C100901,2025-08-09,Netherlands,519.23
O300546,C100570,2025-05-13,India,430.51
O300547,C100992,2024-02-28,Netherlands,439.55999999999995
O300548,C100444,2024-02-15,United States,666.3399999999999
O300549,C100654,2024-02-21,United States,32.849999999999994
O300550,C100190,2025-05-25,India,125.46
O300551,C100743,2024-01-19,Germany,1205.85
O300552,C100313,2024-04-17,Sweden,445.17
O300553,C100836,2024-03-29,India,739.5799999999999
O300554,C100961,2024-04-11,France,189.76
O300555,C101030,2025-01-19,United Kingdom,365.5
O300556,C101114,2025-08-09,India,284.75
O300557,C100146,2024-04-16,India,884.56
O300558,C100165,2025-05-22,United States,49.68
O300559,C101111,2024-07-10,India,546.15
O300560,C100456,2024-08-05,South Korea,480.5
O300561,C100031,2025-05-17,Mexico,347.79999999999995
O300562,C100344,2024-03-08,United Kingdom,262.24
O300563,C101003,2024-03-01,Mexico,255.35999999999996
O300564,C100425,2025-06-27,India,1192.88
O300565,C100092,2024-10-01,India,217.92000000000002
O300566,C100866,2025-03-04,United Kingdom,1766.49
O300567,C100233,2024-04-22,Spain,873.6299999999999
O300568,C100423,2024-02-16,Canada,220.98
O300569,C100004,2024-04-12,Netherlands,1945.66
O300570,C100722,2024-01-18,United States,986.5200000000001
O300571,C100534,2025-01-10,Sweden,2304.8
O300572,C101040,2024-12-26,Australia,471.63
O300573,C100401,2025-03-18,United Kingdom,180.73
O300574,C100245,2024-04-26,Japan,185.1
O300575,C100199,2025-04-01,Australia,746.42
O300576,C100240,2025-02-27,United States,677.6500000000001
O300577,C100541,2024-06-14,Brazil,324.69
O300578,C100104,2025-08-30,India,730.0799999999999
O300579,C100482,2025-05-25,South Korea,267.71
O300580,C101025,2024-05-08,Australia,356.83
O300581,C100921,2025-08-12,Canada,632.63
O300582,C100764,2024-10-31,United Kingdom,178.43
O300583,C101071,2025-03-14,France,249.97
O300584,C100936,2025-08-02,Brazil,575.88
O300585,C100783,2024-07-11,Sweden,410.64
O300586,C101035,2025-05-04,India,493.08000000000004
O300587,C100149,2025-05-12,Mexico,303.61
O300588,C100981,2024-05-04,India,543.39
